,file,ut_epoch,ra,dec,jd,bjd
61,TT_Lyn_06.fits,2012-12-24 10:42:02.60,09:03:56.70,+44:26:14.10,2456285.9458634257,2456285.950942328
62,RU_Psc_09.fits,2012-12-28 05:05:15.30,01:15:17.60,+24:24:00.10,2456289.711982639,2456289.7146248426
63,RR_Cet_04.fits,2012-12-22 02:49:15.67,01:32:53.20,+01:20:07.60,2456283.617542477,2456283.62037113
64,RR_Leo_08.fits,2012-12-26 07:53:29.88,10:08:30.30,+23:50:08.90,2456287.8288180553,2456287.8331068987
65,AR_Per_06.fits,2012-12-21 07:51:03.83,04:18:18.00,+47:20:01.90,2456282.827127662,2456282.8327525686
66,TT_Lyn_10.fits,2012-12-28 09:14:45.00,09:03:54.70,+44:26:22.90,2456289.8852430554,2456289.8905001674
67,TV_Lyn_04.fits,2012-12-24 08:55:52.54,07:34:25.00,+47:40:08.20,2456285.8721358795,2456285.8778583533
68,VX_Her_05.fits,2013-07-24 04:47:10.18,16:31:23.90,+18:16:16.50,2456497.6994233797,2456497.702541016
69,V_535__06.fits,2012-12-28 06:59:18.08,07:11:33.00,+01:11:06.70,2456289.7911814814,2456289.7971245777
70,SV_Eri_05.fits,2012-12-28 02:36:27.95,03:12:33.60,-11:22:41.40,2456289.6086568288,2456289.612332112
71,VX_Her_13.fits,2013-07-26 03:19:57.89,16:31:20.80,+18:16:13.80,2456499.6388644674,2456499.6418543537
72,VX_Her_12.fits,2013-07-26 03:01:52.68,16:31:20.40,+18:16:12.50,2456499.626304167,2456499.629294771
73,SV_Eri_04.fits,2012-12-27 05:20:13.58,03:12:37.40,-11:22:38.80,2456288.722379398,2456288.7261196985
74,TV_Lyn_05.fits,2012-12-24 09:32:10.21,07:34:26.00,+47:40:09.10,2456285.8973403936,2456285.9030633355
75,VX_Her_04.fits,2013-07-24 04:28:19.24,16:31:22.30,+18:16:16.50,2456497.6863337965,2456497.689451782
76,AR_Per_07.fits,2012-12-21 08:14:07.25,04:18:19.50,+47:20:04.50,2456282.8431394678,2456282.8487640354
77,RU_Psc_08.fits,2012-12-28 04:45:11.48,01:15:16.80,+24:24:00.10,2456289.698049537,2456289.7006927584
78,RR_Cet_05.fits,2012-12-22 04:08:28.99,01:32:55.70,+01:20:05.40,2456283.6725577544,2456283.675382109
79,AR_Per_11.fits,2012-12-24 03:23:39.71,04:18:08.40,+47:20:16.0,2456285.6414318285,2456285.6469672243
80,TT_Lyn_07.fits,2012-12-24 11:41:40.68,09:04:00.00,+44:25:58.70,2456285.987276389,2456285.9923567316
81,RW_Ari_05.fits,2012-12-28 03:15:11.67,02:16:48.10,+17:30:55.40,2456289.635551736,2456289.6392490054
82,TV_Lyn_09.fits,2012-12-28 08:07:07.28,07:34:24.70,+47:40:13.0,2456289.838278704,2456289.8440790004
83,VX_Her_08.fits,2013-07-24 05:42:38.41,16:31:26.50,+18:16:16.50,2456497.73794456,2456497.7410604972
84,RR_Leo_05.fits,2012-12-23 12:26:10.65,10:08:29.80,+23:50:10.30,2456285.018178819,2456285.022248536
85,VX_Her_24.fits,2013-07-26 06:43:26.71,16:31:32.10,+18:16:14.30,2456499.7801702544,2456499.783154373
86,RU_Psc_12.fits,2013-07-25 09:52:26.48,01:15:15.20,+24:24:15.90,2456498.911417593,2456498.9127534376
87,RR_Cet_09.fits,2012-12-27 01:30:30.61,01:32:51.00,+01:20:08.50,2456288.5628542826,2456288.5652141217
88,RU_Psc_04.fits,2012-12-27 03:43:46.85,01:15:11.60,+24:23:57.90,2456288.6554033565,2456288.658140004
89,X_Ari__03.fits,2012-12-22 05:01:23.35,03:09:17.20,+10:25:09.10,2456283.7092980323,2456283.7141994666
90,AV_Peg_03.fits,2013-07-24 10:47:39.05,21:52:49.90,+22:33:34.50,2456497.9497575234,2456497.954415798
91,T_Sex__04.fits,2012-12-23 11:44:59.36,09:54:13.40,+01:55:03.80,2456284.9895759257,2456284.993303915
92,TU_UMa_03.fits,2012-12-23 11:11:31.88,11:30:27.20,+29:54:33.90,2456284.9663412035,2456284.9689861867
93,RR_Lyr_03.fits,2013-07-26 09:02:45.82,19:26:02.90,+42:43:45.70,2456499.8769192128,2456499.8803201965
94,RR_Leo_06.fits,2012-12-23 12:37:12.43,10:08:30.20,+23:50:10.30,2456285.0258383104,2456285.0299085123
95,AR_Per_08.fits,2012-12-22 04:36:40.09,04:18:10.10,+47:20:00.10,2456283.6921306713,2456283.6977288728
96,RU_Psc_11.fits,2013-07-25 09:34:19.36,01:15:15.40,+24:24:15.90,2456498.898835185,2456498.9001697702
97,RU_Psc_07.fits,2012-12-28 04:29:09.36,01:15:15.10,+24:24:00.10,2456289.686913889,2456289.6895575654
98,TW_Lyn_03.fits,2012-12-27 05:55:17.84,07:45:57.10,+42:58:51.90,2456288.746734259,2456288.752614117
99,TT_Lyn_08.fits,2012-12-27 07:38:01.68,09:03:54.30,+44:25:57.0,2456288.818075,2456288.8232862214
100,VX_Her_11.fits,2013-07-24 06:40:27.63,16:31:30.70,+18:16:16.50,2456497.7780975695,2456497.7812121944
101,TV_Lyn_10.fits,2012-12-28 08:40:14.94,07:34:25.80,+47:40:13.0,2456289.861284028,2456289.867084625
102,V_535__04.fits,2012-12-27 08:47:14.75,07:11:35.20,+01:11:03.60,2456288.86614294,2456288.8720665355
103,VX_Her_07.fits,2013-07-24 05:26:34.94,16:31:25.40,+18:16:16.50,2456497.726793287,2456497.729909607
104,TV_Lyn_06.fits,2012-12-24 10:05:19.19,07:34:28.50,+47:40:12.60,2456285.9203609955,2456285.9260841925
105,AR_Per_04.fits,2012-12-21 07:08:50.50,04:18:14.90,+47:19:59.30,2456282.797806713,2456282.803432178
106,RR_Cet_06.fits,2012-12-22 05:26:39.18,01:33:00.80,+01:20:11.60,2456283.726842361,2456283.7296634596
107,TT_Lyn_04.fits,2012-12-23 10:28:56.26,09:03:55.30,+44:25:50.40,2456284.9367622687,2456284.941792603
108,AR_Per_12.fits,2012-12-24 06:06:39.66,04:18:11.80,+47:20:02.30,2456285.7546256944,2456285.7601578347
109,TT_Lyn_05.fits,2012-12-23 10:39:55.90,09:03:55.60,+44:25:50.80,2456284.944396991,2456284.949427641
110,AR_Per_13.fits,2012-12-24 06:25:43.06,04:18:12.60,+47:20:02.30,2456285.7678594906,2456285.77339128
111,RR_Cet_07.fits,2012-12-24 03:44:32.77,01:32:54.40,+01:19:59.70,2456285.655934838,2456285.658572581
112,AR_Per_05.fits,2012-12-21 07:32:16.76,04:18:17.00,+47:20:00.60,2456282.8140828703,2456282.819708069
113,VX_Her_06.fits,2013-07-24 05:07:10.11,16:31:24.70,+18:16:16.50,2456497.7133114585,2456497.71642844
114,TV_Lyn_07.fits,2012-12-28 06:21:01.40,07:34:23.60,+47:40:15.70,2456289.764599537,2456289.7703986457
