Unnamed: 0,file,ut_epoch,ra,dec,jd,bjd,star_match,spec_bjd,photo_bjd,T_final,err_tot,phasemod,baseline_time,baseline_div_period
37,AR_Per_01.fits,2012-12-21 04:14:22.28,04:18:10.10,+47:20:05.40,2456282.6766467597,2456282.6822751886,AR Per,2456282.6822751886,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.6709735386342572,-292.0676399911754,-686.3290264613657
136,AR_Per_02.fits,2012-12-21 04:27:07.07,04:18:10.40,+47:20:05.0,2456282.685498496,2456282.691126706,AR Per,2456282.691126706,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.6917736976641891,-292.05878847371787,-686.3082263023358
164,AR_Per_03.fits,2012-12-21 06:08:14.21,04:18:12.40,+47:19:58.80,2456282.755720023,2456282.761346463,AR Per,2456282.761346463,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.8567829314358733,-291.9885687166825,-686.1432170685641
105,AR_Per_04.fits,2012-12-21 07:08:50.50,04:18:14.90,+47:19:59.30,2456282.7978067133,2456282.803432178,AR Per,2456282.803432178,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.9556800495008702,-291.9464830015786,-686.0443199504991
112,AR_Per_05.fits,2012-12-21 07:32:16.76,04:18:17.00,+47:20:00.60,2456282.8140828703,2456282.819708069,AR Per,2456282.819708069,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.9939267247441421,-291.9302071109414,-686.0060732752559
65,AR_Per_06.fits,2012-12-21 07:51:03.83,04:18:18.00,+47:20:01.90,2456282.827127662,2456282.8327525686,AR Per,2456282.8327525686,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.02457996261500739,-291.91716261114925,-685.975420037385
76,AR_Per_07.fits,2012-12-21 08:14:07.25,04:18:19.50,+47:20:04.50,2456282.843139468,2456282.848764036,AR Per,2456282.848764036,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.062205269883975234,-291.90115114394575,-685.937794730116
95,AR_Per_08.fits,2012-12-22 04:36:40.09,04:18:10.10,+47:20:00.10,2456283.6921306713,2456283.6977288728,AR Per,2456283.6977288728,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.057185645103913885,-291.05218630703166,-683.9428143548961
126,AR_Per_09.fits,2012-12-22 05:57:06.72,04:18:12.20,+47:20:01.0,2456283.7479944443,2456283.7535911626,AR Per,2456283.7535911626,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.1884563021754957,-290.99632401717827,-683.8115436978245
60,AR_Per_10.fits,2012-12-22 07:39:54.86,04:18:17.40,+47:20:11.10,2456283.819384953,2456283.8249799497,AR Per,2456283.8249799497,2456574.74991518,0.42555047030000004,6.505386482068921e-06,0.3562126368682357,-290.92493523005396,-683.6437873631318
