orig_spec_file_name,plate,mjd,fiberid,feh_sspp_single,error_feh_sspp_single,feh_rrlfe_single,error_feh_rrlfe_single
spec-0313-51673-0503g001.dat,0313,51673,0503,-1.463,0.045,-1.8743430925023263,0.0099961160986235
spec-0315-51663-0040g001.dat,0315,51663,0040,,,-0.7967575594102407,0.0111588562494337
spec-0323-51615-0099g001.dat,0323,51615,0099,,,-1.734540628251397,0.0103097775311526
spec-0323-51615-0099g002.dat,0323,51615,0099,,,-2.3781122285871046,0.0091402527600882
spec-0323-51615-0243g001.dat,0323,51615,0243,,,-1.9672192805119213,0.0119853178906299
spec-0323-51615-0243g002.dat,0323,51615,0243,-1.411,0.029,-2.1126023594678496,0.0120237093619987
spec-0326-52375-0102g001.dat,0326,52375,0102,-1.483,0.06,-1.3354209398236048,0.0110077037908055
spec-0326-52375-0102g002.dat,0326,52375,0102,-1.424,0.05,-1320.001093339772,-999.0
spec-0327-52294-0220g001.dat,0327,52294,0220,,,-1.8337532572540605,0.0109751859304591
spec-0328-52282-0265g001.dat,0328,52282,0265,,,-1.2080044556264995,0.0110602194126894
spec-0328-52282-0265g002.dat,0328,52282,0265,-1.228,0.051,-1320.001093339772,-999.0
spec-0328-52282-0265g003.dat,0328,52282,0265,,,-1320.001093339772,-999.0
spec-0328-52282-0265g004.dat,0328,52282,0265,-1.645,0.045,-1.059263399439914,0.0125938992737825
spec-0328-52282-0330g001.dat,0328,52282,0330,,,-1.864632313543756,0.011155517666161
spec-0328-52282-0330g002.dat,0328,52282,0330,-1.334,0.052,-1.890547853627197,0.0100018058611595
spec-0328-52282-0330g003.dat,0328,52282,0330,,,-1.7897897730089487,0.0101082460483129
spec-0328-52282-0330g004.dat,0328,52282,0330,,,-1.6551366414993116,0.0109224200310103
spec-0328-52282-0376g001.dat,0328,52282,0376,-1.506,0.15,-1.8405420381877784,0.0104577388483244
spec-0328-52282-0376g002.dat,0328,52282,0376,-1.631,0.059,-1.9856214869092543,0.0100267045401029
spec-0328-52282-0376g003.dat,0328,52282,0376,,,-1.522563986012622,0.009957616103034
spec-0328-52282-0376g004.dat,0328,52282,0376,-1.4,0.049,-1.7511395022132552,0.0111181676634275
spec-0331-52368-0060g001.dat,0331,52368,0060,,,-1.2544147745488503,0.0104576144656698
spec-0331-52368-0120g001.dat,0331,52368,0120,-1.345,0.107,-0.5819252480318489,0.0140778595334348
spec-0331-52368-0251g001.dat,0331,52368,0251,,,-1.465850611219916,0.0104114384305767
spec-0331-52368-0531g001.dat,0331,52368,0531,,,-1.5979946200440691,0.0108538575283195
spec-0331-52368-0531g002.dat,0331,52368,0531,,,-2.0370855965900896,0.0097631407487097
spec-0331-52368-0545g001.dat,0331,52368,0545,-1.223,0.077,-1.6682804850988062,0.0112118444686548
spec-0332-52367-0047g001.dat,0332,52367,0047,-1.489,0.022,-1320.001093339772,-999.0
spec-0333-52313-0067g001.dat,0333,52313,0067,,,-2.4744206787596474,0.0082502901570391
spec-0333-52313-0322g001.dat,0333,52313,0322,-2.272,0.038,-1320.001093339772,-999.0
spec-0333-52313-0322g002.dat,0333,52313,0322,-1.717,0.067,-1.471684746012714,0.01090033661481
spec-0333-52313-0478g001.dat,0333,52313,0478,-1.338,0.095,-1.4062020919912557,0.0104949549628895
spec-0334-51993-0003g001.dat,0334,51993,0003,-1.399,0.06,-1.295265190024546,0.0105062875249894
spec-0334-51993-0091g001.dat,0334,51993,0091,-1.51,0.086,0.5522459457670279,0.04149042246733
spec-0334-51993-0109g001.dat,0334,51993,0109,,,-1.9667505755269108,0.0128626136509287
spec-0334-51993-0109g002.dat,0334,51993,0109,-2.05,0.102,-1.5561276301818383,0.01106590529921
spec-0334-51993-0333g001.dat,0334,51993,0333,-1.589,0.093,-1.534741251186654,0.0100255148866643
spec-0334-51993-0433g001.dat,0334,51993,0433,-0.953,0.078,-1.866240881305218,0.0129604186354702
spec-0335-52000-0124g001.dat,0335,52000,0124,,,-1.5012294041567775,0.0111908427158077
spec-0335-52000-0610g001.dat,0335,52000,0610,,,-1.2944176576711783,0.012069056256139
spec-0336-51999-0228g001.dat,0336,51999,0228,,,-2.087083611046503,0.0101495339029905
spec-0336-51999-0241g001.dat,0336,51999,0241,-0.939,0.089,-1.4559560648327297,0.0112068646059056
spec-0337-51997-0580g001.dat,0337,51997,0580,,,-1.6888091288220657,0.0106318522580013
spec-0337-51997-0587g001.dat,0337,51997,0587,-1.523,0.097,-1.540260507462026,0.0111895027332418
spec-0339-51692-0307g001.dat,0339,51692,0307,-1.222,0.057,-0.9203855183784188,0.011029982303991
spec-0340-51990-0129g001.dat,0340,51990,0129,-1.371,0.074,-1.310395919247875,0.0097200533066995
spec-0340-51990-0367g001.dat,0340,51990,0367,,,-1.686486356709513,0.0103799547676026
spec-0340-51990-0367g002.dat,0340,51990,0367,-1.534,0.027,-1.080789686691692,0.0110727155528979
spec-0341-51690-0180g001.dat,0341,51690,0180,-1.289,0.108,-1.224480282212392,0.0094852624415752
spec-0341-51690-0180g002.dat,0341,51690,0180,-1.37,0.111,-1.549995575376796,0.0100869891483245
spec-0341-51690-0248g003.dat,0341,51690,0248,-0.969,0.09,-1.3037023978536364,0.0096718054127291
spec-0341-51690-0353g001.dat,0341,51690,0353,-1.217,0.022,-1.7240292404256854,0.01081973093624
spec-0341-51690-0640g001.dat,0341,51690,0640,-1.42,0.092,-1.952789869608155,0.0106517166576005
spec-0342-51691-0172g002.dat,0342,51691,0172,,,-1.944355976357503,0.0109926089447907
spec-0342-51691-0346g001.dat,0342,51691,0346,-1.552,0.028,-1.6073598008836658,0.0142885751754641
spec-0342-51691-0406g001.dat,0342,51691,0406,-2.318,0.335,-1.832609005577956,0.0109862214847102
spec-0342-51691-0406g002.dat,0342,51691,0406,-1.779,0.147,-1.507510320586398,0.0099491723662469
spec-0342-51691-0489g002.dat,0342,51691,0489,-1.313,0.061,-1.3290868215146998,0.0115720466228853
spec-0342-51691-0489g003.dat,0342,51691,0489,,,-1.7060649760370712,0.0121980279033101
spec-0342-51691-0490g001.dat,0342,51691,0490,-1.58,0.026,-2.3607959308278845,0.0086787286227561
spec-0346-51693-0028g001.dat,0346,51693,0028,-1.491,0.056,-0.7807358695497262,0.0254903457114894
spec-0346-51693-0268g001.dat,0346,51693,0268,-1.324,0.017,-2.047431211242233,0.0105253218207316
spec-0346-51693-0587g001.dat,0346,51693,0587,-1.997,0.101,-1.7358041928157122,0.0116347924644702
spec-0346-51693-0587g002.dat,0346,51693,0587,-1.956,0.033,-2.057919255452666,0.0110929326407314
spec-0348-51671-0341g001.dat,0348,51671,0341,-1.755,0.114,-1.8085121544666536,0.0108692865684574
spec-0348-51671-0341g002.dat,0348,51671,0341,,,-1.59668605475888,0.0120377357498274
spec-0348-51671-0514g001.dat,0348,51671,0514,-2.007,0.097,-1.379026212595264,0.0106499214065586
spec-0348-51671-0514g002.dat,0348,51671,0514,-1.398,0.059,0.9387561207766212,0.0226704182743843
spec-0348-51671-0514g003.dat,0348,51671,0514,-1.671,0.096,-0.7861670035738257,0.0095590207076934
spec-0349-51699-0541g001.dat,0349,51699,0541,,,-1.8041250225171612,0.0116552087979012
spec-0349-51699-0541g002.dat,0349,51699,0541,,,-2.2346402710302518,0.0090403128641619
spec-0351-51695-0208g001.dat,0351,51695,0208,-2.15,0.017,-1.6900562154843983,0.0113764924276908
spec-0353-51703-0195g001.dat,0353,51703,0195,-2.885,0.131,-2.884512060302725,0.0145434844132127
spec-0353-51703-0195g002.dat,0353,51703,0195,,,-2.631382004460472,0.0104851190416047
spec-0353-51703-0195g003.dat,0353,51703,0195,,,-2.7389694738907644,0.0130370868040415
spec-0354-51792-0389g001.dat,0354,51792,0389,-1.194,0.064,-0.9370699965753851,0.0110059139774886
spec-0354-51792-0514g001.dat,0354,51792,0514,,,-0.9083276533335294,0.0108143382694695
spec-0359-51821-0623g001.dat,0359,51821,0623,-1.254,0.017,-1.3160983032327735,0.0109167215372547
spec-0364-52000-0029g001.dat,0364,52000,0029,-2.499,0.023,-2.295615316786715,0.0104161848070115
spec-0364-52000-0029g002.dat,0364,52000,0029,,,-2.1683357367749467,0.0103203299787511
spec-0364-52000-0188g001.dat,0364,52000,0188,-2.043,0.126,-1.9707598617838264,0.0294952334507186
spec-0364-52000-0188g002.dat,0364,52000,0188,,,-1.8291803809244211,0.0150003743508642
spec-0367-51997-0300g004.dat,0367,51997,0300,-1.271,0.023,-2.762581507080761,0.0128413287482826
spec-0367-51997-0300g005.dat,0367,51997,0300,,,-1.4073483884910425,0.0115579580519822
spec-0367-51997-0300g006.dat,0367,51997,0300,,,-1.3674957503612202,0.0115000730688682
spec-0371-52078-0324g002.dat,0371,52078,0324,-0.957,0.043,-1.5420880611560777,0.0099814869829928
spec-0371-52078-0334g001.dat,0371,52078,0334,-0.843,0.052,-1.3839489149281574,0.0113945175262211
spec-0371-52078-0334g002.dat,0371,52078,0334,-0.993,0.092,-0.5099685707277088,0.0108220594743889
spec-0372-52173-0430g001.dat,0372,52173,0430,-1.302,0.093,-1.3364694092341414,0.0109670911726794
spec-0374-51791-0010g001.dat,0374,51791,0010,-1.506,0.12,-1.4122866208220446,0.0114104025938382
spec-0376-52143-0148g001.dat,0376,52143,0148,,,-1.812486903411676,0.0111312228725926
spec-0377-52145-0315g001.dat,0377,52145,0315,,,-1.345036906328411,0.0114687216486998
spec-0381-51811-0272g001.dat,0381,51811,0272,-1.474,0.009,-1.4275605732952517,0.0111964947595058
spec-0381-51811-0272g002.dat,0381,51811,0272,-1.368,0.041,-1.6114118436009228,0.0107697756005065
spec-0383-51818-0113g001.dat,0383,51818,0113,-1.768,0.091,-2.074632077233073,0.0108993128061097
spec-0384-51821-0287g002.dat,0384,51821,0287,,,-0.208413891291136,0.0136683023288498
spec-0384-51821-0287g003.dat,0384,51821,0287,,,-2.228465059361469,0.0100208126793482
spec-0387-51791-0004g001.dat,0387,51791,0004,-1.943,0.049,-2.366788543642479,0.0090537666968126
spec-0387-51791-0139g001.dat,0387,51791,0139,,,-2.767708502954401,0.0109815625984012
spec-0388-51793-0330g001.dat,0388,51793,0330,-1.339,0.037,-2.043036733986592,0.0104655678760705
spec-0391-51782-0336g001.dat,0391,51782,0336,,,-2.625564186723857,0.0083339988857583
spec-0391-51782-0336g002.dat,0391,51782,0336,-2.064,0.079,-2.0440253020926407,0.0110228368334637
spec-0394-51913-0159g002.dat,0394,51913,0159,-1.086,0.006,-1.655545100692832,0.0107373499077789
spec-0398-51789-0382g001.dat,0398,51789,0382,-1.103,0.023,-1.441312293195318,0.0100201919797473
spec-0399-51817-0260g001.dat,0399,51817,0260,,,-1.6771922461747542,0.0117404461981707
spec-0402-51793-0117g001.dat,0402,51793,0117,-1.768,0.088,-2.1912944260458027,0.0104458840994332
spec-0402-51793-0466g001.dat,0402,51793,0466,-1.245,0.024,-1.673202380922458,0.0102584035885327
spec-0411-51817-0122g001.dat,0411,51817,0122,,,-2.7117620992656533,0.0091892915192821
spec-0418-51817-0358g001.dat,0418,51817,0358,-1.358,0.038,-1.5374364883989968,0.0099987400880246
spec-0418-51817-0358g002.dat,0418,51817,0358,-1.276,0.056,-0.76110908814052,0.0091924800716826
spec-0422-51811-0271g002.dat,0422,51811,0271,,,-1.91407106612484,0.0109845269008767
spec-0427-51900-0139g002.dat,0427,51900,0139,,,-2.1442263391711083,0.0093970751118654
spec-0427-51900-0437g001.dat,0427,51900,0437,-1.484,0.079,-2.156633875793088,0.0101289395564964
spec-0427-51900-0546g001.dat,0427,51900,0546,,,-1.6367190206568552,0.0108200242085612
spec-0427-51900-0546g002.dat,0427,51900,0546,-1.327,0.032,-1.897430871874844,0.0110548236171091
spec-0427-51900-0627g001.dat,0427,51900,0627,,,-1.9221377121987573,0.011535673850332
spec-0432-51884-0545g001.dat,0432,51884,0545,-0.972,0.038,-1.4089248116210993,0.0104416964793598
spec-0432-51884-0545g002.dat,0432,51884,0545,,,-1.4886170803820584,0.0111760996820361
spec-0435-51882-0026g001.dat,0435,51882,0026,-1.076,0.016,-0.6919215103304475,0.0098559200859532
spec-0437-51876-0356g001.dat,0437,51876,0356,,,-2.1019268997779483,0.0109806367863266
spec-0437-51876-0383g002.dat,0437,51876,0383,-1.304,0.06,-1.641338541161128,0.0101966879268403
