orig_spec_file_name,feh_liu,error_feh_liu,feh_rrlfe,error_feh_rrlfe
spec-56984-M31005N35B1_sp02-247.dat,-1.433,0.076,-1.5039514943796208,0.0122789958430304
spec-56952-M31005N35M1_sp06-223.dat,-1.918,0.096,-1.7376739655551718,0.0137015019958757
spec-57717-M31007N33B2_sp09-154.dat,-1.918,0.096,-2.350783531103191,0.0106157081497694
spec-57015-M31007N33B1_sp15-180.dat,-1.447,0.102,-0.98331039907107,0.0116615562857471
spec-57641-HD003721N352358B01_sp10-193.dat,-1.447,0.102,-1.644033579248119,0.0101618788756552
spec-57304-M31015N35M1_sp03-200.dat,-999.0,-999.0,-0.1234417250568392,0.0123581541676434
spec-56204-M31012N34B101_sp03-141.dat,-1.461,0.165,-0.3327168267976501,0.012769511003354
spec-55907-M31_007N34_B1_sp03-141.dat,-1.461,0.165,-0.418817158310583,0.01041982973466
spec-57717-M31007N33B2_sp11-096.dat,-1.25,0.276,1.3455359300234768,0.02653116603677
spec-56976-HD005814N335703V01_sp11-083.dat,-2.183,0.076,-2.8602749337881828,0.0158946348719067
spec-58096-GACII004N36M1_sp04-086.dat,-2.12,0.089,-1.2399530731846349,0.0108050662958297
spec-58040-GACII004N36M1_sp04-086.dat,-2.12,0.089,-1.9102854942956733,0.0104450706839703
spec-56208-M31016N38B1_sp02-040.dat,-2.07,0.044,-2.005166364699093,0.0112665127954373
spec-56255-VB016N38V1_sp02-040.dat,-2.07,0.044,-2.067625859110659,0.0101411419337374
spec-56221-M31012N38B1_sp08-149.dat,-2.07,0.044,-0.8061130206626894,0.0111354285756662
spec-56984-M31005N35B1_sp11-089.dat,-0.669,0.113,-0.6625625652832174,0.0111549638198172
spec-57747-M31002N36B2_sp13-015.dat,-0.669,0.113,2.976860242414113,0.1252825395407168
spec-57011-M31002N36B1_sp13-003.dat,-0.669,0.113,0.813059771023855,0.0256944548825885
spec-57732-HD005328N372505B01_sp04-012.dat,-1.775,0.093,-1.8497382085512069,0.0100227594422404
spec-56642-VB005N38V2_sp10-072.dat,-1.356,0.099,-1.9325172735067413,0.0111512140177626
spec-56262-VB002N36V2_sp09-106.dat,-1.356,0.099,-1.9828685782700235,0.011431279464122
spec-56936-HD000012N381814V01_sp06-169.dat,-1.356,0.099,-0.5298989332644366,0.0105758815995557
spec-57279-M31012N38M1_sp04-102.dat,-1.747,-999.0,-1.9265398657722903,0.0099594489603239
spec-57011-M31002N36B1_sp09-065.dat,-0.967,0.08,-2.0362890529867816,0.0132947706049628
spec-58457-HD002951N381926B02_sp10-239.dat,-1.619,0.143,-1.7076715065772228,0.0109234104816089
spec-58040-GACII004N36B1_sp15-050.dat,-1.655,0.121,-2.0208232758287865,0.0097790394680679
spec-57325-M31016N38B2_sp03-245.dat,-1.615,0.077,-1.2486644645265692,0.0113487090671188
spec-56208-M31016N38B1_sp03-245.dat,-1.615,0.077,0.0021073008521425,0.013889567980225
