6380659528686603008,BK Tuc,RRab,UVES,6090,100,1.92,0.094999969005584717,3.00,0.159999850,-1.85200023651123047,0.128,81,-1.85200023651123047,0.111,20 
2622375506154471680,BN Aqr,RRab,UVES,6290,170,2.16,0.090000033378601074,3.80,0.230000020,-1.49200010299682617,0.133,50,-1.49100017547607422,0.109,22 
2438710609949867776,BR Aqr,RRab,UVES,6190,80,2.07,0.110000014305114760,3.24,0.109999895,-0.99300003051757801,0.104,84,-0.99399995803832997,0.169,21 
2438710609949867776,BR Aqr,RRab,Subaru,6430,100,2.22,0.110000014305114760,2.39,0.080000160,-0.89300012588500977,0.125,102,-0.89400005340576172,0.163,21 
6910611591970329216,BT Aqr,RRab,UVES,6670,160,2.11,0.129999995231628418,2.70,0.099999905,-0.24200010299682617,0.172,98,-0.24200010299682617,0.172,18 
6820039248616386688,BV Aqr,RRc,UVES,6330,160,1.84,0.110000014305114760,2.48,0.069999930,-1.68900012969970703,0.123,42,-1.69000005722045898,0.128,19 
6820039248616386688,BV Aqr,RRc,UVES,6490,90,2.14,0.055000066757202148,2.14,0.120000124,-1.53299999237060547,0.114,66,-1.53299999237060547,0.044,14 
5412243359495900928,CD Vel,RRab,DuPont,6040,100,1.84,0.100000023841857924,3.11,0.130000110,-1.83900022506713867,0.131,86,-1.83900022506713867,0.154,28 
2688734709383609344,CP Aqr,RRab,UVES,6510,100,2.59,0.080000042915344238,2.56,0.069999930,-0.61800003051757812,0.130,115,-0.61600017547607422,0.128,22 
4947090013255935616,CS Eri,RRc,DuPont,6380,120,1.75,0.099999904632568359,2.24,0.059999943,-1.96700000762939453,0.139,86,-1.96700000762939453,0.146,30 
2576046827804121728,CSS J015133.8+141105,RRab,UVES,7220,420,2.10,0.199999988079071045,3.74,0.169999840,-2.28800010681152344,0.060,12,-2.28900003433227539,0.155,8 
2576046827804121728,CSS J015133.8+141105,RRab,UVES,7420,650,2.68,0.139999985694885226,3.88,0.370000120,-1.90600013732910156,0.088,12,-1.90399980545043945,0.094,9 
77849374617106176,CSS J020033.4+141155,RRab,UVES,6150,120,1.83,0.069999992847442627,3.20,0.079999920,-1.79300022125244141,0.094,44,-1.79400014877319336,0.071,19 
77849374617106176,CSS J020033.4+141155,RRab,UVES,6100,130,1.85,0.100000023841857924,3.12,0.140000100,-1.76300001144409180,0.086,31,-1.76300001144409180,0.110,17 
3839232130153219456,CSS J092300.3-004031,RRab,UVES,7440,770,2.15,0.184999942779541043,3.66,0.379999880,-1.25099992752075195,0.128,17,-1.25299978256225586,0.150,15 
3836581314992458880,CSS J100604.6+025304,RRc,UVES,7930,340,3.30,0.129999995231628418,3.33,0.200000050,-1.57100009918212891,0.120,22,-1.56899976730346680,0.061,10 
3806559592377384704,CSS J104629.3+002929,RRab,XShooter,6100,320,1.52,0.205000042915344238,2.37,0.130000110,-1.77500009536743164,0.138,14,-1.77500009536743164,0.183,11 
3806559592377384704,CSS J104629.3+002929,RRab,XShooter,6730,490,1.75,0.274999976158142090,2.91,0.269999980,-1.49599981307983398,0.217,13,-1.49700021743774414,0.220,12 
4445885957088116608,CSS J164842.7+095622,RRab,DuPont,6680,320,1.56,0.149999976158142090,2.57,0.190000060,-2.39699983596801758,0.122,17,-2.39599990844726562,0.134,14 
4445885957088116608,CSS J164842.7+095622,RRab,DuPont,6770,410,1.83,0.159999966621398926,2.45,0.170000080,-2.28800010681152344,0.150,24,-2.28700017929077148,0.140,15 
6897755139944897024,CSS J212348.8-073205,RRab,DuPont,6610,250,2.40,0.180000066757202148,3.80,0.299999950,-1.41699981689453125,0.195,55,-1.41900014877319336,0.189,16 
1770039418063209600,CSS J213251.4+125330,RRab,UVES,6220,150,1.62,0.100000023841857924,3.05,0.089999914,-1.70800018310546875,0.090,31,-1.70599985122680664,0.119,17 
1770039418063209600,CSS J213251.4+125330,RRab,UVES,6030,110,1.63,0.080000042915344238,3.88,0.180000070,-1.64099979400634766,0.075,26,-1.64099979400634766,0.103,15 
6836508627130440064,CSS J214706.5-185647,RRab,DuPont,6030,110,1.46,0.110000014305114760,2.79,0.089999914,-2.42199993133544922,0.117,51,-2.42100000381469727,0.150,21 
6836508627130440064,CSS J214706.5-185647,RRab,DuPont,5950,120,1.60,0.080000042915344238,3.48,0.139999870,-2.45800018310546875,0.111,37,-2.45900011062622070,0.075,10 
5737579706158770560,DH Hya,RRab,UVES,6160,120,1.84,0.069999992847442627,3.18,0.089999914,-1.78299999237060547,0.095,44,-1.78200006484985352,0.081,19 
2720896455287475584,DH Peg,RRc,STELLA,7110,260,2.15,0.100000023841857924,2.16,0.100000140,-1.42399978637695312,0.170,67,-1.42299985885620117,0.130,33 
2720896455287475584,DH Peg,RRc,STELLA,7070,150,2.33,0.110000014305114760,2.10,0.090000150,-1.32899999618530273,0.136,88,-1.32999992370605469,0.156,30 
2720896455287475584,DH Peg,RRc,Subaru,7310,340,1.99,0.205000042915344238,1.19,0.300000070,-1.35500001907348633,0.163,27,-1.35599994659423828,0.141,12 
