name_match,feh
SW_And,-0.24
RS_Boo,-0.33
AR_Per,-0.29
SW_Dra,-1.28
RR_Cet,-1.49
TU_UMa,-1.57
TT_Lyn,-1.53
SU_Dra,-1.80
VY_Ser,-1.90
