name_match,feh
SW_And,-0.36
AT_And,-1.14
TY_Aps,-0.92
XZ_Aps,-0.55
BV_Aqr,-1.18
RS_Boo,-0.31
AE_Boo,-1.18
RR_Cet,-1.31
DX_Del,-0.39
SU_Dra,-1.97
SW_Dra,-0.74
CS_Eri,-1.41
XZ_Gru,-1.37
XX_Hya,-1.22
IK_Hya,-1.24
FW_Lup,-0.20
TT_Lyn,-1.34
CN_Lyr,-1.10
KX_Lyr,-0.41
VY_Nor,-2.01
DH_Peg,-1.35
DZ_Peg,-1.21
VZ_Peg,-1.63
AR_Per,-0.23
VW_Scl,-0.84
VY_Ser,-1.53
AP_Ser,-1.62
T_Sex,-1.27
MT_Tel,-1.64
SX_UMa,-1.63
TU_UMa,-1.66
AM_Vir,-1.30
