,name_match,feh_single_basis,err_feh_single_basis,feh_single_lit_synced,err_feh_single_lit,resids_initial_mapping
0,sw_and,-0.38,0.17,-0.35629849269304603,0.1300711343842284,0.10557205144550497
1,x_ari,-2.4,0.09,-2.8012984926930464,0.13460497761970025,-0.25245125893148845
2,st_boo,-1.86,0.14,-1.9812984926930461,0.14024442947939145,0.00964408146632234
3,rr_cet,-1.52,0.12,-1.6762984926930464,0.13026319510897927,-0.03662922272764968
4,rr_lyr,-1.37,0.08,-1.691298492693046,0.13460497761970025,-0.206602739283813
5,v445_oph,-0.23,0.39,-0.1312984926930455,0.15262208228169344,0.17559853488934163
6,v440_sgr,-1.47,0.11,-1.4412984926930452,0.14617968395095127,0.14671293842029698
7,vy_ser,-1.82,0.23,-2.0112984926930455,0.14210383527547735,-0.06168218961532079
0,sw_and,-0.38,0.17,-0.6186991350817956,0.13,-0.15682859094324464
1,ci_and,-0.83,0.22,-0.9286991350817957,0.13,-0.0019080412747528586
2,br_aqr,-0.84,0.31,-1.0986991350817956,0.13,-0.1615764735043419
3,rs_boo,-0.32,0.31,-0.7086991350817957,0.13,-0.30881799756571027
4,z_cvn,-1.98,0.14,-2.038699135081796,0.13,0.07622225232250335
5,ss_cvn,-1.52,0.23,-1.4486991350817957,0.13,0.19097013488360104
6,uz_cvn,-2.34,0.14,-1.8186991350817956,0.13,0.6681586920572968
7,rr_cet,-1.52,0.12,-1.8686991350817956,0.13,-0.2290298651163989
8,rz_cet,-1.5,0.09,-1.5086991350817955,0.13,0.11030699934277943
9,dm_cyg,-0.14,0.11,-0.43869913508179564,0.13,-0.22478621743310684
10,su_dra,-1.74,0.14,-2.1786991350817955,0.13,-0.3117353741673583
11,sw_dra,-1.24,0.07,-1.6586991350817957,0.13,-0.3083137626879049
12,bk_dra,-2.12,0.21,-1.9886991350817957,0.13,0.2708642011082565
13,bb_eri,-1.51,0.18,-1.4686991350817957,0.13,0.16063856711319024
14,sz_gem,-1.81,0.15,-1.8386991350817956,0.13,0.1005856002255181
15,sz_hya,-1.75,0.09,-1.9786991350817957,0.13,-0.10140380639694757
16,xx_hya,-1.33,0.07,-1.4886991350817957,0.13,-0.04532965275420642
