,name_match,feh_single_basis,err_feh_single_basis,feh_single_lit_synced,err_feh_single_lit,resids_initial_mapping
17,dd_hya,-1.0,0.14,-1.3186991350817956,0.13,-0.216271389177767
18,st_leo,-1.29,0.22,-1.4586991350817957,0.13,-0.056655923835850164
19,ax_leo,-2.28,0.23,-1.5386991350817956,0.13,0.8861692854348313
20,tw_lyn,-1.23,0.25,-0.4686991350817956,0.13,0.8713546695416844
21,cn_lyr,-0.26,0.07,-0.7586991350817957,0.13,-0.42080740418817575
22,io_lyr,-1.52,0.11,-1.2886991350817958,0.13,0.35097013488360096
23,kx_lyr,-0.46,0.2,-0.5986991350817956,0.13,-0.05417604877995719
24,v455_oph,-1.42,0.07,-1.0886991350817956,0.13,0.4476544571794918
25,dz_peg,-1.52,0.18,-1.6386991350817957,0.13,0.0009701348836010926
26,ar_per,-0.43,0.13,-0.6686991350817957,0.13,-0.15517075209119002
27,vy_ser,-1.82,0.23,-2.2786991350817956,0.13,-0.32908283200407085
28,tu_uma,-1.44,0.16,-1.9486991350817957,0.13,-0.3916824072796863
29,ab_uma,-0.72,0.59,-1.0286991350817956,0.13,-0.21555528674927293
30,af_vir,-1.46,0.37,-1.5886991350817956,0.13,-0.011019271738864411
0,sw_and,-0.38,0.17,-0.42526329009940933,0.15,0.03660725403914167
1,x_ari,-2.4,0.09,-2.5752632900994086,0.15,-0.026416056337850602
2,rs_boo,-0.32,0.31,-0.7152632900994094,0.15,-0.3153821525833239
3,xz_cyg,-1.52,0.11,-1.605263290099409,0.15,0.0344059798659877
4,dx_del,-0.56,0.12,-0.605263290099409,0.15,0.04257547390653882
5,su_dra,-1.74,0.14,-1.8452632900994093,0.15,0.021700470815027906
6,xz_dra,-0.87,0.09,-0.9052632900994089,0.15,0.06285407478927763
7,sv_eri,-2.04,0.07,-2.2052632900994085,0.15,-0.028352496072643785
8,rr_leo,-1.57,0.19,-1.4952632900994087,0.15,0.1960638187180428
9,av_peg,-0.14,0.22,-0.315263290099409,0.15,-0.1013503724507202
10,ar_per,-0.43,0.13,-0.33526329009940947,0.15,0.1782650928911962
11,vy_ser,-1.82,0.23,-2.0252632900994088,0.15,-0.07564698702168404
12,tu_uma,-1.44,0.16,-1.6552632900994089,0.15,-0.09824656229729944
13,uu_vir,-0.82,0.2,-0.7952632900994094,0.15,0.1211962359372224
0,sw_and,-0.38,0.17,-0.30367587526014533,0.15,0.15819466887840566
1,x_ari,-2.4,0.09,-2.8236758752601454,0.15,-0.27482864149858743
2,st_boo,-1.86,0.14,-1.9136758752601453,0.15,0.07726669889922322
3,w_cvn,-1.21,0.14,-1.3636758752601452,0.15,-0.04428520617748721
4,rr_cet,-1.52,0.12,-1.7536758752601453,0.15,-0.1140066052947486
5,dx_del,-0.56,0.12,-0.3536758752601453,0.15,0.29416288874580254
6,xz_dra,-0.87,0.09,-0.8936758752601454,0.15,0.07444148962854114
7,sv_eri,-2.04,0.07,-2.083675875260145,0.15,0.09323491876661949
8,rr_gem,-0.35,0.3,-0.13367587526014532,0.15,0.2971999655671729
9,vz_her,-1.03,0.11,-1.4436758752601453,0.15,-0.31025342604488393
10,rr_leo,-1.57,0.19,-1.5336758752601451,0.15,0.15765123355730637
11,rr_lyr,-1.37,0.08,-1.5836758752601452,0.15,-0.0989801218509121
12,kx_lyr,-0.46,0.2,-0.7136758752601453,0.15,-0.16915278895830688
13,v445_oph,-0.23,0.39,0.09632412473985466,0.15,0.40322115232224176
14,bh_peg,-1.38,0.21,-1.3136758752601452,0.15,0.18135144591949848
15,ar_per,-0.43,0.13,-0.4636758752601453,0.15,0.04985250773046035
16,rv_uma,-1.19,0.16,-1.4536758752601453,0.15,-0.15494834171830907
17,tu_uma,-1.44,0.16,-1.6036758752601452,0.15,-0.04665914745803579
18,uu_vir,-0.82,0.2,-1.0436758752601454,0.15,-0.12721634922351355
0,wy_ant,-1.66,0.2,-1.7950000000000286,0.1063014581273465,-0.010688781248878731
1,xz_aps,-1.57,0.09,-1.6500000000000286,0.1063014581273465,0.041327108817422964
2,bs_aps,-1.33,0.26,-1.4750000000000287,0.1063014581273465,-0.03163051767243941
3,sw_aqr,-1.24,0.11,-1.3750000000000286,0.1063014581273465,-0.024614627606137862
4,dn_aqr,-1.63,0.15,-1.7550000000000285,0.1063014581273465,-0.0016834845601116921
5,x_ari,-2.4,0.09,-2.600000000000029,0.1063014581273465,-0.05115276623847098
6,rr_cet,-1.52,0.12,-1.5650000000000286,0.1063014581273465,0.07466926996536816
7,w_crt,-0.5,0.16,-0.7500000000000286,0.1063014581273465,-0.16415064261654644
8,dx_del,-0.56,0.12,-0.5500000000000287,0.1063014581273465,0.09783876400591918
9,sx_for,-1.62,0.11,-1.7950000000000286,0.1063014581273465,-0.05201505233052228
10,v_ind,-1.5,0.11,-1.6050000000000286,0.1063014581273465,0.014006134424546346
11,ss_leo,-1.83,0.14,-2.3400000000000287,0.1063014581273465,-0.380052129151893
12,st_leo,-1.29,0.22,-1.3050000000000288,0.1063014581273465,0.09704321124591675
13,z_mic,-1.28,0.2,-1.4600000000000286,0.1063014581273465,-0.06828835652449405
14,rv_oct,-1.34,0.25,-1.4550000000000287,0.1063014581273465,-0.0012989499020286122
15,uv_oct,-1.61,0.11,-1.6900000000000286,0.1063014581273465,0.0426533798990667
16,v445_oph,-0.23,0.39,-0.12000000000002868,0.1063014581273465,0.18689702758235843
17,av_peg,-0.14,0.22,-0.17000000000002868,0.1063014581273465,0.04391291764866012
18,hh_pup,-0.69,0.17,-0.9250000000000287,0.1063014581273465,-0.14285085497873895
19,v1645_sgr,-1.74,0.23,-1.8000000000000287,0.1063014581273465,0.06696376091440848
20,vy_ser,-1.82,0.23,-1.8750000000000286,0.1063014581273465,0.07461630307769607
21,an_ser,-0.04,0.21,0.04499999999997131,0.1063014581273465,0.15559723994455082
22,w_tuc,-1.64,0.17,-1.7550000000000285,0.1063014581273465,0.008648083210299307
23,st_vir,-0.88,0.11,-0.8550000000000286,0.1063014581273465,0.12344893265906887
24,uu_vir,-0.82,0.2,-0.9250000000000287,0.1063014581273465,-0.008540473963396855
25,as_vir,-1.49,0.16,-1.5650000000000286,0.1063014581273465,0.04367456665413538
0,sw_and,-0.38,0.17,-0.29957597347644593,0.15,0.16229457066210506
1,ci_and,-0.83,0.22,-0.6595759734764459,0.15,0.2672151203305969
2,br_aqr,-0.84,0.31,-0.9195759734764458,0.15,0.0175466881010079
3,aa_aql,-0.58,0.15,-0.5495759734764459,0.15,0.1189259260703237
4,rs_boo,-0.32,0.31,-0.34957597347644587,0.15,0.05030516403963958
5,rr_cet,-1.52,0.12,-1.579575973476446,0.15,0.060093296488950676
6,dm_cyg,-0.14,0.11,-0.1995759734764459,0.15,0.014336944172242905
7,dx_del,-0.56,0.12,-0.3662426401431126,0.15,0.2815961238628353
8,tw_her,-0.67,0.24,-0.5795759734764458,0.15,0.1819100360040221
9,tv_lib,-0.27,0.52,-0.6595759734764459,0.15,-0.311352674812415
10,rr_lyr,-1.37,0.08,-1.6155759734764459,0.15,-0.13088022006721278
11,cn_lyr,-0.26,0.07,-0.2695759734764459,0.15,0.068315757417174
12,io_lyr,-1.52,0.11,-1.579575973476446,0.15,0.060093296488950676
13,kx_lyr,-0.46,0.2,-0.4995759734764459,0.15,0.04494711282539254
14,v413_oph,-1.0,0.15,-0.9795759734764459,0.15,0.12285177242758272
15,v445_oph,-0.23,0.39,-0.09457597347644589,0.15,0.21232105410594124
16,v440_sgr,-1.47,0.11,-1.409575973476446,0.15,0.17843545763689628
17,vy_ser,-1.82,0.23,-2.054575973476446,0.15,-0.10495967039872123
18,do_vir,-0.8,0.15,-1.799575973476446,0.15,-0.903779582980636
0,sw_and,-0.38,0.17,-0.1356159740217499,0.08,0.3262545701168011
1,x_ari,-2.4,0.09,-3.0756159740217504,0.09,-0.5267687402601924
2,st_boo,-1.86,0.14,-1.95561597402175,0.06,0.03532660013761846
3,rr_cet,-1.52,0.12,-1.5156159740217499,0.09,0.12405329594364689
4,v894_cyg,-1.71,0.07,-1.9956159740217498,0.12,-0.15964691641854545
5,rr_lyr,-1.37,0.08,-1.60561597402175,0.12,-0.12092022061251684
6,fn_lyr,-2.01,0.07,-2.3156159740217497,0.09,-0.169699883306218
7,nr_lyr,-2.42,0.27,-2.87561597402175,0.11,-0.3061056047193702
8,v445_oph,-0.23,0.39,-0.20561597402174991,0.1,0.10128105356063721
9,vy_ser,-1.82,0.23,-2.04561597402175,0.07,-0.0959996709440254
0,sw_and,-0.38,0.17,-0.6411294727881048,0.15,-0.17925892864955384
1,ty_aps,-1.21,0.11,-1.201129472788105,0.15,0.118261196294553
2,xz_aps,-1.57,0.09,-0.8311294727881049,0.15,0.8601976360293466
3,rs_boo,-0.32,0.31,-0.5911294727881049,0.15,-0.19124833527201945
4,rr_cet,-1.52,0.12,-1.591129472788105,0.15,0.048539797177291844
5,dx_del,-0.56,0.12,-0.6711294727881049,0.15,-0.023290708782157
6,su_dra,-1.74,0.14,-2.251129472788105,0.15,-0.38416571187366766
7,sw_dra,-1.24,0.07,-1.0211294727881048,0.15,0.32925589960578594
8,xx_hya,-1.33,0.07,-1.5011294727881048,0.15,-0.0577599904605155
9,cn_lyr,-0.26,0.07,-1.381129472788105,0.15,-1.043237741894485
10,kx_lyr,-0.46,0.2,-0.6911294727881048,0.15,-0.14660638648626634
11,dz_peg,-1.52,0.18,-1.4911294727881048,0.15,0.14853979717729193
12,ar_per,-0.43,0.13,-0.5111294727881048,0.15,0.0023989102025008258
13,vy_ser,-1.82,0.23,-1.8111294727881049,0.15,0.13848683028961983
14,tu_uma,-1.44,0.16,-1.9411294727881048,0.15,-0.38411274498599535
15,am_vir,-1.45,0.11,-1.581129472788105,0.15,-0.013781177215584695
0,x_ari,-2.4,0.09,-2.4100028836162863,0.17,0.13884435014527163
1,tu_uma,-1.44,0.16,-1.5300028836162864,0.05,0.027013844185822977
0,xz_aps,-1.57,0.09,-2.002002351330411,0.11250999955559506,-0.3106752425129595
1,xz_aps,-1.57,0.09,-1.581002347515714,0.10254023600518969,0.11032476130173752
2,sw_aqr,-1.24,0.11,-1.4710024524198888,0.08753570700005797,-0.12061708002599802
3,sw_aqr,-1.24,0.11,-1.4930025268064855,0.16531258270319293,-0.1426171544125947
4,aa_aqr,-2.09,0.11,-2.3400026488767973,0.07864477096412704,-0.11143401599797809
5,bn_aqr,-1.33,0.11,-1.525502555416715,0.0859796487548071,-0.08213307308912565
6,br_aqr,-0.84,0.31,-1.0275024104582187,0.09921819389607936,-0.09037974888076494
7,br_aqr,-0.84,0.31,-0.9275025058256505,0.10270589077555387,0.009620155751803194
8,bt_aqr,-0.29,0.2,-0.2760025191770909,0.12162236636408616,0.09288391502776178
9,cp_aqr,-0.9,0.13,-0.651002519177091,0.09121951545584969,0.3481095490228284
10,aa_aql,-0.58,0.15,-0.37500249628890736,0.16273291000900833,0.2934994032578623
11,aa_aql,-0.58,0.15,-0.5225022960173009,0.11709077675034871,0.14599960352946872
12,v341_aql,-1.37,0.11,-1.5065025020109533,0.09010271915985665,-0.02180674860172016
13,rv_cap,-1.72,0.28,-1.6345022845732091,0.095818839483684,0.21179834080040627
14,rv_cap,-1.72,0.28,-1.326502435253751,0.11932413837945782,0.5197981901198643
15,rv_cap,-1.72,0.28,-1.4925025630461095,0.12050726119201283,0.3537980623275059
16,rv_cet,-1.32,0.09,-1.5160022902952548,0.09366162501259521,-0.08296437573807647
17,rv_cet,-1.32,0.09,-1.5520025420652743,0.10217754156369198,-0.118964627508096
18,rx_cet,-1.46,0.09,-1.5665024447904943,0.07567198953377663,0.011177418552436924
19,rx_eri,-1.3,0.16,-1.6005023646818517,0.14074267298868529,-0.18812758566549515
20,rx_eri,-1.3,0.16,-1.4880024123655675,0.09086390922693124,-0.07562763334921097
21,sv_eri,-2.04,0.07,-2.250502460049283,0.0872252830319283,-0.07359166602251843
22,bb_eri,-1.51,0.18,-1.642002456234586,0.12096693763173474,-0.012664754039600101
23,bb_eri,-1.51,0.18,-1.7460023093687411,0.12446385017345397,-0.11666460717375515
24,bk_eri,-1.64,0.26,-2.0500022101866127,0.11077567422498497,-0.2863541269762848
25,bk_eri,-1.64,0.26,-1.950002305554044,0.08030255288594504,-0.18635422234371624
26,rr_gru,-0.45,0.42,-0.5065025020109533,0.08472602905837144,0.027689016520474286
27,ss_gru,-2.35,0.23,-2.4085024524198886,0.08290054282090076,0.08868694248961528
28,sv_hya,-1.7,0.27,-1.8500024009214755,0.05702850164610674,-0.024364911088682106
29,sv_hya,-1.7,0.27,-1.7305024791227694,0.053956000593075835,0.09513501071002395
30,wz_hya,-1.3,0.19,-1.5220023322569245,0.1028809992175426,-0.10962755324056794
31,dh_hya,-1.55,0.15,-1.8165024447904943,0.06242195126716242,-0.14583847151386453
32,v_ind,-1.5,0.11,-1.6385024714933751,0.06901630242196405,-0.019496337068800162
33,v_ind,-1.5,0.11,-1.6825023818479894,0.05062854925829892,-0.06349624742341442
34,rr_leo,-1.57,0.19,-1.6080022979246493,0.18428781837115552,0.08332481089280219
35,u_lep,-1.93,0.15,-1.84700261835922,0.10889674007976548,0.2162609301930245
36,u_lep,-1.93,0.15,-1.6755024123655675,0.09346790893135462,0.38776113618667707
37,u_lep,-1.93,0.15,-2.2210024524198886,0.07962411694957754,-0.157738903867644
38,tv_lib,-0.27,0.52,-0.5705023932920812,0.1099295228771598,-0.2222790946280503
39,tv_lib,-0.27,0.52,-0.5605024028288244,0.11406357876202203,-0.21227910416479345
40,z_mic,-1.28,0.2,-1.575002305554044,0.07613474896523927,-0.18329066207850953
41,z_mic,-1.28,0.2,-1.6470023322569245,0.09724325169388363,-0.25529068878138994
42,uv_oct,-1.61,0.11,-1.7515023875700353,0.04576297630180974,-0.01884900767094
43,uv_oct,-1.61,0.11,-1.7525023150907875,0.05103920062069938,-0.019848935191692174
44,ar_oct,-0.51,0.18,-0.1905025172697423,0.11361447971099459,0.40567840788415077
45,v413_oph,-1.0,0.15,-1.1840025115476966,0.08170832270950126,-0.08157476564366806
46,v445_oph,-0.23,0.39,0.07799757237564345,0.13263954915484297,0.38489459995803055
47,v445_oph,-0.23,0.39,0.06949771161209364,0.13623509092741123,0.37639473919448074
48,v816_oph,-0.96,0.15,-0.6640025306211828,0.11677007322083857,0.39709894420120206
49,wy_pav,-0.98,0.37,-1.1850024390684484,0.10823123393919151,-0.10323782870524156
50,u_pic,-0.73,0.23,-0.8500024009214757,0.07390027063549903,-0.02652698481854221
51,v440_sgr,-1.47,0.11,-1.4720023799406408,0.08487932610477066,0.11600905117270144
52,v440_sgr,-1.47,0.11,-1.4125024009214757,0.08100154319517623,0.17550903019186648
53,v1646_sgr,-1.41,0.13,-1.525502555416715,0.10113604698622544,0.0005194690741616714
54,ru_scl,-1.25,0.13,-1.4450021911131259,0.07278907885115733,-0.08428525094882411
55,ru_scl,-1.25,0.13,-1.5215023684965487,0.08074187265601411,-0.16078542833224696
56,at_ser,-2.05,0.09,-2.2935024428831454,0.08411004696229815,-0.10626008108596974
57,at_ser,-2.05,0.09,-2.496502273129117,0.09511177634762165,-0.3092599113319414
58,av_ser,-1.2,0.11,-1.5065025020109533,0.07672841716078861,-0.19744340069870625
59,rw_tra,0.07,0.13,0.14099753613601942,0.1447938189288479,0.13794753060607873
60,rw_tra,0.07,0.13,0.046997435046541886,0.14002321236137957,0.043947429516601175
61,w_tuc,-1.64,0.17,-1.9900022674070712,0.08385254915624211,-0.22635418419674336
62,w_tuc,-1.64,0.17,-1.8790022063719152,0.10044899203078148,-0.11535412316158733
63,yy_tuc,-1.82,0.16,-1.5630024600492833,0.08946088530749066,0.3866138430284414
64,bk_tuc,-1.82,0.39,-1.901002519177091,0.07655063683601855,0.048613783900633756
65,bk_tuc,-1.82,0.39,-1.8860026526914953,0.08471274992585237,0.06361365038622946
66,uv_vir,-1.19,0.15,-1.4405025172697423,0.07142128534267637,-0.1417749837279061
67,am_vir,-1.45,0.11,-1.7340022254454013,0.10780074211247341,-0.16665392987288108
68,am_vir,-1.45,0.11,-1.8625024486051915,0.08662707428973923,-0.29515415303267134
69,as_vir,-1.49,0.16,-1.833502404736173,0.12938411803617939,-0.224827838082009
70,as_vir,-1.49,0.16,-1.6370025802122472,0.08151380251221263,-0.02832801355808323
71,at_vir,-1.91,0.21,-1.9110022712217687,0.10783900036628678,0.13159814178965434
72,at_vir,-1.91,0.21,-1.9155024219023105,0.1316064208160073,0.12709799110911257
