,file,ut_epoch,ra,dec,jd,bjd
0,BH_Peg_03.fits,2013-07-24 11:12:07.52,22:53:49.60,+15:47:25.50,2456497.9667537035,2456497.9710793938
1,RW_Ari_02.fits,2012-12-27 03:07:05.85,02:16:48.20,+17:30:31.60,2456288.6299288194,2456288.6337122745
2,AV_Peg_08.fits,2013-07-26 08:03:17.91,21:52:45.40,+22:34:05.70,2456499.835623958,2456499.840374843
3,AR_Per_16.fits,2012-12-28 05:51:42.70,04:18:11.80,+47:20:03.20,2456289.7442442128,2456289.749630503
4,RR_Cet_02.fits,2012-12-22 02:20:51.45,01:32:51.70,+01:20:08.90,2456283.5978177083,2456283.600647691
5,RU_Psc_19.fits,2013-07-26 10:30:45.35,01:15:13.20,+24:24:42.30,2456499.938024884,2456499.939457403
6,VX_Her_03.fits,2013-07-24 04:11:55.02,16:31:22.30,+18:16:16.50,2456497.674942361,2456497.678061088
7,SV_Eri_03.fits,2012-12-27 02:45:25.38,03:12:34.70,-11:22:34.0,2456288.6148770833,2456288.618624422
8,VX_Her_15.fits,2013-07-26 03:56:56.45,16:31:22.10,+18:16:14.30,2456499.664542245,2456499.6675308454
9,AV_Peg_04.fits,2013-07-25 07:39:22.39,21:52:44.90,+22:33:31.40,2456498.8190091434,2456498.8237113687
10,TW_Lyn_07.fits,2012-12-27 09:45:13.84,07:45:59.30,+42:59:04.20,2456288.906410185,2456288.9122935347
11,VX_Her_23.fits,2013-07-26 06:25:20.26,16:31:30.30,+18:16:14.30,2456499.7675956017,2456499.7705799816
12,RU_Psc_15.fits,2013-07-26 09:16:07.24,01:15:15.70,+24:24:41.0,2456499.8861949076,2456499.887621676
13,TU_UMa_07.fits,2012-12-24 12:50:19.08,11:30:28.10,+29:54:04.90,2456286.0349430554,2456286.037678705
14,VX_Her_19.fits,2013-07-26 05:09:56.95,16:31:25.10,+18:16:14.70,2456499.7152424767,2456499.7182286703
15,TU_UMa_06.fits,2012-12-24 12:06:15.79,11:30:26.70,+29:54:30.80,2456286.0043494212,2456286.0070831086
16,RU_Psc_14.fits,2013-07-25 10:58:13.10,01:15:14.30,+24:24:16.30,2456498.957096065,2456498.958436532
17,TW_Lyn_06.fits,2012-12-27 07:58:55.55,07:45:56.30,+42:59:11.20,2456288.832587384,2456288.838469228
18,X_Ari__05.fits,2012-12-22 06:37:06.64,03:09:22.90,+10:25:09.50,2456283.775771296,2456283.780669607
19,AV_Peg_05.fits,2013-07-25 08:16:03.93,21:52:44.90,+22:34:06.10,2456498.8444899307,2456498.8491927776
20,RU_Psc_22.fits,2013-07-26 11:25:38.24,01:15:13.70,+24:24:44.90,2456499.976137037,2456499.977572931
21,SV_Eri_02.fits,2012-12-25 03:51:13.02,03:12:34.20,-11:22:43.60,2456286.660567361,2456286.664452649
22,V_535__01.fits,2012-12-25 05:39:44.88,07:11:33.20,+01:10:59.20,2456286.7359361113,2456286.7418101537
23,TV_Lyn_03.fits,2012-12-24 08:18:29.07,07:34:23.80,+47:40:08.20,2456285.8461697917,2456285.8518917845
24,AR_Per_01.fits,2012-12-21 04:14:22.28,04:18:10.10,+47:20:05.40,2456282.6766467593,2456282.6822751886
25,RU_Psc_18.fits,2013-07-26 10:11:37.48,01:15:14.40,+24:24:42.30,2456499.924739352,2456499.9261701982
26,X_Ari__09.fits,2012-12-28 04:08:26.95,03:09:15.40,+10:24:46.20,2456289.6725341436,2456289.677005467
27,RR_Cet_03.fits,2012-12-22 02:35:51.61,01:32:52.50,+01:20:08.10,2456283.6082362267,2456283.6110655093
28,TT_Lyn_01.fits,2012-12-23 07:48:05.21,09:03:54.00,+44:26:19.80,2456284.825060301,2456284.830085214
29,BH_Peg_02.fits,2013-07-24 10:25:10.29,22:53:47.90,+15:47:21.10,2456497.934146875,2456497.938470805
30,RW_Ari_03.fits,2012-12-27 04:04:11.28,02:16:49.40,+17:30:52.70,2456288.669575,2456288.673355586
31,AV_Peg_09.fits,2013-07-26 08:38:38.26,21:52:44.40,+22:34:05.70,2456499.8601650465,2456499.8649172536
32,V445_O_01.fits,2013-07-25 03:31:58.20,16:25:34.00,-06:38:08.20,2456498.647201389,2456498.6511231144
33,AV_Peg_02.fits,2013-07-24 10:01:28.47,21:52:46.90,+22:33:34.50,2456497.917690625,2456497.922347774
34,X_Ari__02.fits,2012-12-22 03:34:40.90,03:09:16.00,+10:24:39.60,2456283.6490844907,2456283.653989517
35,TW_Lyn_01.fits,2012-12-22 07:05:09.26,07:45:56.90,+42:58:52.30,2456283.7952460647,2456283.8009887612
36,RR_Cet_08.fits,2012-12-24 04:43:04.90,01:32:56.70,+01:20:04.10,2456285.6965844906,2456285.699219231
37,VX_Her_25.fits,2013-07-26 07:02:10.06,16:31:33.20,+18:16:15.10,2456499.7931719907,2456499.7961555817
38,RU_Psc_13.fits,2013-07-25 10:39:59.68,01:15:14.10,+24:24:14.20,2456498.9444407406,2456498.9457801105
39,TV_Lyn_08.fits,2012-12-28 07:34:57.45,07:34:24.30,+47:40:18.80,2456289.8159427084,2456289.8217426008
40,VX_Her_09.fits,2013-07-24 06:01:38.74,16:31:27.50,+18:16:16.0,2456497.751142824,2456497.7542582178
41,T_Sex__06.fits,2012-12-24 12:29:42.66,09:54:16.40,+01:55:06.40,2456286.020632639,2456286.0244460334
42,RW_Ari_04.fits,2012-12-28 02:01:29.47,02:16:46.80,+17:30:55.40,2456289.584368866,2456289.58807013
43,AR_Per_10.fits,2012-12-22 07:39:54.86,04:18:17.40,+47:20:11.10,2456283.8193849535,2456283.8249799497
44,TT_Lyn_06.fits,2012-12-24 10:42:02.60,09:03:56.70,+44:26:14.10,2456285.9458634257,2456285.950942328
45,RR_Cet_04.fits,2012-12-22 02:49:15.67,01:32:53.20,+01:20:07.60,2456283.617542477,2456283.62037113
46,AR_Per_06.fits,2012-12-21 07:51:03.83,04:18:18.00,+47:20:01.90,2456282.827127662,2456282.8327525686
47,TT_Lyn_10.fits,2012-12-28 09:14:45.00,09:03:54.70,+44:26:22.90,2456289.8852430554,2456289.8905001674
48,TV_Lyn_04.fits,2012-12-24 08:55:52.54,07:34:25.00,+47:40:08.20,2456285.8721358795,2456285.8778583533
49,VX_Her_05.fits,2013-07-24 04:47:10.18,16:31:23.90,+18:16:16.50,2456497.6994233797,2456497.702541016
50,V_535__06.fits,2012-12-28 06:59:18.08,07:11:33.00,+01:11:06.70,2456289.7911814814,2456289.7971245777
51,VX_Her_13.fits,2013-07-26 03:19:57.89,16:31:20.80,+18:16:13.80,2456499.6388644674,2456499.6418543537
52,VX_Her_12.fits,2013-07-26 03:01:52.68,16:31:20.40,+18:16:12.50,2456499.626304167,2456499.629294771
53,TV_Lyn_05.fits,2012-12-24 09:32:10.21,07:34:26.00,+47:40:09.10,2456285.8973403936,2456285.9030633355
54,VX_Her_04.fits,2013-07-24 04:28:19.24,16:31:22.30,+18:16:16.50,2456497.6863337965,2456497.689451782
55,AR_Per_07.fits,2012-12-21 08:14:07.25,04:18:19.50,+47:20:04.50,2456282.8431394678,2456282.8487640354
56,RR_Cet_05.fits,2012-12-22 04:08:28.99,01:32:55.70,+01:20:05.40,2456283.6725577544,2456283.675382109
57,AR_Per_11.fits,2012-12-24 03:23:39.71,04:18:08.40,+47:20:16.0,2456285.6414318285,2456285.6469672243
58,RW_Ari_05.fits,2012-12-28 03:15:11.67,02:16:48.10,+17:30:55.40,2456289.635551736,2456289.6392490054
59,TV_Lyn_09.fits,2012-12-28 08:07:07.28,07:34:24.70,+47:40:13.0,2456289.838278704,2456289.8440790004
60,VX_Her_08.fits,2013-07-24 05:42:38.41,16:31:26.50,+18:16:16.50,2456497.73794456,2456497.7410604972
