,name_match,feh,err_feh,feh_mapped,err_feh_mapped
47,UY_Boo,-2.49,0.16,-2.763074,0.1937670253577734
48,CM_Boo,-1.48,0.2,-1.630359,0.23037043747842303
49,U_Cae,-1.11,0.19,-1.2154040000000002,0.21805276623102032
50,V_Cae,-2.0,0.1,-2.213539,0.12847238030020305
51,RZ_Cam,-1.01,0.18,-1.103254,0.20677648467850496
52,RW_Cnc,-1.52,0.24,-1.675219,0.2743803441648108
53,SS_Cnc,-0.07,0.59,-0.049044000000000004,0.6627043764070069
54,TT_Cnc,-1.58,0.16,-1.742509,0.18749981606390978
55,AN_Cnc,-1.45,0.14,-1.596714,0.16539491830162134
56,AQ_Cnc,-1.53,0.36,-1.686434,0.40726297725671057
57,AS_Cnc,-1.89,0.35,-2.0901739999999998,0.39714901694578064
58,W_CVn,-1.21,0.14,-1.327554,0.16414508477563378
59,Z_CVn,-1.98,0.14,-2.191109,0.16890327221223395
60,RR_CVn,-1.08,0.34,-1.181759,0.38405301811598874
61,RU_CVn,-1.37,0.14,-1.5069940000000002,0.16495432975220747
62,RX_CVn,-1.31,0.33,-1.439704,0.37339571248341885
63,RZ_CVn,-1.92,0.32,-2.1238189999999997,0.36403305100498773
64,SS_CVn,-1.52,0.23,-1.675219,0.2633877193207762
65,SV_CVn,-2.2,0.2,-2.4378390000000003,0.23405117901860698
66,SW_CVn,-1.53,0.3,-1.686434,0.34066955770071383
67,UZ_CVn,-2.34,0.14,-2.594849,0.171847805327854
68,AL_CMi,-0.85,0.12,-0.9238139999999999,0.14115521421470764
69,RV_Cap,-1.72,0.28,-1.899519,0.31916154490163756
70,IU_Car,-1.85,0.18,-2.045314,0.21049096655201144
71,KS_Cen,-0.8,0.38,-0.867739,0.4282296828805775
72,LN_Cen,-1.89,0.11,-2.0901739999999998,0.13736953541815594
73,V499_Cen,-1.56,0.28,-1.720079,0.31863068241460996
74,V671_Cen,-1.4,0.13,-1.5406389999999999,0.15449137718656017
75,V674_Cen,-1.53,0.18,-1.686434,0.20882682285568585
76,DX_Cep,-1.83,0.07,-2.022884,0.09833870727745002
77,RR_Cet,-1.52,0.12,-1.675219,0.14473853690016353
78,RU_Cet,-1.6,0.12,-1.764939,0.1452937576085084
79,RV_Cet,-1.32,0.09,-1.450919,0.11251173720550225
80,RX_Cet,-1.46,0.09,-1.607929,0.11362212496252655
81,RZ_Cet,-1.5,0.09,-1.6527889999999998,0.1139577738682184
82,XZ_Cet,-2.27,0.13,-2.516344,0.16102023782431824
83,RV_Cha,-1.66,0.26,-1.8322289999999999,0.2968996817041069
84,RT_Col,-1.43,0.14,-1.5742839999999998,0.16528253925929381
85,RW_Col,-1.03,0.27,-1.125684,0.3061408307772748
86,RX_Col,-1.7,0.07,-1.8770889999999998,0.09682167848679345
87,RY_Col,-1.11,0.17,-1.2154040000000002,0.19619154074781106
88,S_Com,-2.0,0.2,-2.213539,0.23289057516353043
89,V_Com,-1.75,0.2,-1.9331639999999999,0.23158839025305222
90,RY_Com,-1.65,0.2,-1.821014,0.23111431824964893
91,WW_CrA,-1.38,0.11,-1.518209,0.13339586173866114
92,V413_CrA,-1.21,0.16,-1.327554,0.18571532612038244
93,V592_CrA,-1.82,0.15,-2.011669,0.17827946771571873
