,file_name,s_to_n
0,RU_Psc_17_noise_ver_000.dat,58.876797724541134
1,AR_Per_14_noise_ver_000.dat,31.64791297199021
2,T_Sex__06_noise_ver_000.dat,34.20106014465143
3,X_Ari__05_noise_ver_000.dat,45.40469180777099
4,TU_UMa_06_noise_ver_000.dat,29.399478791943537
5,AR_Per_08_noise_ver_000.dat,26.027464891954217
6,TT_Lyn_03_noise_ver_000.dat,39.34957580484582
7,VX_Her_07_noise_ver_000.dat,60.47183163603493
8,RU_Psc_12_noise_ver_000.dat,68.31087576236204
9,RW_Ari_05_noise_ver_000.dat,34.783864444059155
10,AR_Per_11_noise_ver_000.dat,18.062803401198902
11,T_Sex__03_noise_ver_000.dat,45.87076700137013
12,TU_UMa_03_noise_ver_000.dat,43.98738575147774
13,TT_Lyn_06_noise_ver_000.dat,36.922121360967
14,VX_Her_02_noise_ver_000.dat,59.243693709720866
15,RW_Ari_01_noise_ver_000.dat,35.48174073879063
16,RU_Psc_16_noise_ver_000.dat,57.37425983491866
17,AR_Per_15_noise_ver_000.dat,26.24395068607074
18,RR_Leo_08_noise_ver_000.dat,49.6007385860281
19,X_Ari__04_noise_ver_000.dat,37.53872507244381
20,AR_Per_09_noise_ver_000.dat,22.054169187518045
21,TU_UMa_07_noise_ver_000.dat,31.06965634682955
22,RU_Psc_22_noise_ver_000.dat,53.97659392881935
23,TT_Lyn_02_noise_ver_000.dat,41.736251694956174
24,VX_Her_06_noise_ver_000.dat,58.95923207665237
25,RU_Psc_13_noise_ver_000.dat,77.08963894755253
26,RW_Ari_04_noise_ver_000.dat,36.92595614064249
27,AR_Per_10_noise_ver_000.dat,20.663703488941476
28,V445_O_02_noise_ver_000.dat,18.2602883917807
29,T_Sex__02_noise_ver_000.dat,46.849051252571236
30,TU_UMa_02_noise_ver_000.dat,44.96446410251527
31,X_Ari__01_noise_ver_000.dat,40.60175193110059
32,TT_Lyn_07_noise_ver_000.dat,33.83973846358676
33,VX_Her_03_noise_ver_000.dat,84.44077281632907
34,RW_Ari_02_noise_ver_000.dat,37.29461032069933
35,RU_Psc_15_noise_ver_000.dat,57.35142749715948
36,VX_Her_19_noise_ver_000.dat,45.258365247529
37,T_Sex__04_noise_ver_000.dat,48.61998359452473
