,file,ut_epoch
0,BH_Peg_03.fits,2013-07-24 11:12:07.52
1,AV_Peg_08.fits,2013-07-26 08:03:17.91
2,RU_Psc_19.fits,2013-07-26 10:30:45.35
3,VX_Her_03.fits,2013-07-24 04:11:55.02
4,VX_Her_15.fits,2013-07-26 03:56:56.45
5,AV_Peg_04.fits,2013-07-25 07:39:22.39
6,VX_Her_23.fits,2013-07-26 06:25:20.26
7,RU_Psc_15.fits,2013-07-26 09:16:07.24
8,VX_Her_19.fits,2013-07-26 05:09:56.95
9,RU_Psc_14.fits,2013-07-25 10:58:13.10
10,AV_Peg_05.fits,2013-07-25 08:16:03.93
11,RU_Psc_22.fits,2013-07-26 11:25:38.24
12,RU_Psc_18.fits,2013-07-26 10:11:37.48
13,BH_Peg_02.fits,2013-07-24 10:25:10.29
14,AV_Peg_09.fits,2013-07-26 08:38:38.26
15,V445_O_01.fits,2013-07-25 03:31:58.20
16,AV_Peg_02.fits,2013-07-24 10:01:28.47
17,VX_Her_25.fits,2013-07-26 07:02:10.06
18,RU_Psc_13.fits,2013-07-25 10:39:59.68
19,VX_Her_09.fits,2013-07-24 06:01:38.74
20,VX_Her_05.fits,2013-07-24 04:47:10.18
21,VX_Her_13.fits,2013-07-26 03:19:57.89
22,VX_Her_12.fits,2013-07-26 03:01:52.68
23,VX_Her_04.fits,2013-07-24 04:28:19.24
24,VX_Her_08.fits,2013-07-24 05:42:38.41
25,VX_Her_24.fits,2013-07-26 06:43:26.71
26,RU_Psc_12.fits,2013-07-25 09:52:26.48
27,AV_Peg_03.fits,2013-07-24 10:47:39.05
28,RU_Psc_11.fits,2013-07-25 09:34:19.36
29,VX_Her_11.fits,2013-07-24 06:40:27.63
30,VX_Her_07.fits,2013-07-24 05:26:34.94
31,AV_Peg_01.fits,2013-07-24 08:46:04.27
32,VX_Her_17.fits,2013-07-26 04:33:16.22
33,RU_Psc_21.fits,2013-07-26 11:06:55.38
34,VX_Her_01.fits,2013-07-22 04:28:45.77
35,BH_Peg_01.fits,2013-07-24 09:36:23.75
36,RU_Psc_17.fits,2013-07-26 09:53:30.55
37,VX_Her_21.fits,2013-07-26 05:47:09.11
38,AV_Peg_06.fits,2013-07-25 08:51:36.36
39,AV_Peg_07.fits,2013-07-25 10:17:00.98
40,RU_Psc_16.fits,2013-07-26 09:35:26.65
41,VX_Her_20.fits,2013-07-26 05:27:58.14
42,VX_Her_16.fits,2013-07-26 04:14:57.54
43,RU_Psc_20.fits,2013-07-26 10:48:50.86
