realization_spec_file_name,orig_spec_file_name,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo,EW_Balmer,err_EW_Balmer_from_robo,err_EW_Balmer_scaled,err_EW_CaIIK_scaled,feh_retrieved,err_feh_retrieved,teff_retrieved,feh_corrected
spec-55859-F5902_sp01-206_noise_ver_000.dat,spec-55859-F5902_sp01-206.dat,9.625002,2.124379,10.687818,2.677866,11.794619,3.394874,11.396126,2.333641,2.656218,1.479751,11.2412185,2.1619514211605217,0.5331391058998968,0.50479551351981,-1.1528403467753714,0.0115342073165904,7600.612676842645,-1.040529617417557
spec-55859-F5902_sp05-158_noise_ver_000.dat,spec-55859-F5902_sp05-158.dat,4.340819,2.515433,8.198062,2.232877,6.64486,2.038226,7.924003,2.070165,2.723378,0.9331,7.421461000000001,1.511630322218779,0.5061200136026235,0.482083634961,-1.7406203939603828,0.0102325797646415,6864.306838038479,-1.817460928871423
spec-55859-F5902_sp08-197_noise_ver_000.dat,spec-55859-F5902_sp08-197.dat,7.2823,1.883296,11.848315,3.271377,5.760751,2.754076,9.777774,2.398366,2.933682,1.308082,8.804533,2.1381558695465235,0.532150464740369,0.49766312835942,-1.4295200212885164,0.0107339528005818,7130.911194227728,-1.4062465270023845
spec-55859-F5902_sp09-221_noise_ver_000.dat,spec-55859-F5902_sp09-221.dat,6.254612,1.835078,7.389399,2.056117,6.975212,1.893894,8.978084,2.035161,4.470493,1.690479,7.1823055,1.3977170315307923,0.5013872228012897,0.51355069506149,-1.2408188084829517,0.0096019064805753,6818.206636381141,-1.1568200936960908
spec-55859-F5902_sp12-088_noise_ver_000.dat,spec-55859-F5902_sp12-088.dat,8.958208,1.843551,7.815683,2.602932,8.544256,1.80148,10.110125,1.877753,2.028466,0.409378,8.1799695,1.5827653953621807,0.5090754845383851,0.46032439467318,-1.902393412841493,0.0103380885625623,7010.518799748768,-2.031293508454701
spec-55859-M5901_sp07-052_noise_ver_000.dat,spec-55859-M5901_sp07-052.dat,3.628867,2.895689,11.810153,26.775686,3.970976,3.002258,5.796276,6.332143,3.325897,2.449546,7.8905645,13.471738138313482,1.0030303206713331,0.54508788702126,-1.4516053459388791,0.0102719323993552,6954.732381035245,-1.4354390460861257
spec-55862-B6202_sp02-230_noise_ver_000.dat,spec-55862-B6202_sp02-230.dat,7.932258,2.403251,9.319298,6.161504,10.081866,6.223614,9.092869,1.084892,2.115001,0.502976,9.700582,4.378855522936673,0.6252455078566621,0.46421313979456,-1.6259479741442109,0.0112049594421344,7303.635800581569,-1.6658862132238812
spec-55862-B6202_sp12-064_noise_ver_000.dat,spec-55862-B6202_sp12-064.dat,0.005608,inf,4.88535,1.824409,4.770716,1.791729,0.003004,inf,5.817299,1.740822,4.828033,1.2785500585352534,0.4964361556324823,0.51564231128882,-1.357588524453078,0.0105171717098857,6364.391286090951,-1.311167028406193
spec-55863-B6301_sp03-065_noise_ver_000.dat,spec-55863-B6301_sp03-065.dat,6.741618,1.744047,5.331006,1.288017,6.41296,1.752739,8.164489,1.144126,7.512251,1.241285,5.871983,1.0875525038371712,0.4885007210181991,0.49488789269335,-0.8184735447173475,0.0095564888904905,6565.62565251856,-0.5985615049004498
spec-55863-GAC_060N28_B1_sp14-213_noise_ver_000.dat,spec-55863-GAC_060N28_B1_sp14-213.dat,8.604158,2.07783,8.849388,1.954009,8.892116,1.639359,9.425193,1.942256,3.966589,1.678926,8.870752,1.275308698214083,0.4963014858303969,0.51307069898906,-1.0683918953541605,0.0106796952877003,7143.675731332445,-0.9289051306267053
spec-55863-M31_011N40_B1_sp15-113_noise_ver_000.dat,spec-55863-M31_011N40_B1_sp15-113.dat,6.823337,2.553436,9.352211,5.474803,8.312752,3.656288,15.36445,16.335723,1.727059,3.418468,8.8324815,3.2917286426645576,0.5800783103526637,0.58534398972108,-1.95086748827634,0.0105687780908032,7136.298615742266,-2.0953668419737186
spec-55875-GAC_118N28_B1_sp14-001_noise_ver_000.dat,spec-55875-GAC_118N28_B1_sp14-001.dat,10.133103,1.716393,10.462479,1.281701,10.767305,1.569832,12.177365,1.635764,1.301452,0.598311,10.614892,1.0133027634454816,0.4854158440367261,0.46817405259341,-1.961445513981657,0.011595244609207,7479.880442152935,-2.1093489419500346
